optimizer,estimator,generator,acquisitor,Wp0,Wn0,Wp2,Wp1,Wn2,Wn1,t_phl,t_plh,v_il,v_ih,cost,time_stamp
gbrt_minimize,ET,hammersly,LCB,9.440501514887157e-05,8.034608263484978e-06,7.024497411250453e-05,1.1880678523954036e-06,2.98024799423039e-06,8.204720316444067e-07,1.1097086417842623,1.636194503986717,8.556244601720664e-10,8.395941719641087e-10,0.4579425585959661,224029-211111
gbrt_minimize,ET,hammersly,EI,9.440501514887157e-05,8.034608263484978e-06,7.024497411250453e-05,1.1880678523954036e-06,2.98024799423039e-06,8.204720316444067e-07,1.1097086417842623,1.636194503986717,8.556244601720664e-10,8.395941719641087e-10,0.4579425585959661,224321-211111
gbrt_minimize,ET,hammersly,PI,2.602715708652256e-06,8.16024867607933e-06,1.7751171164394576e-06,2.271363735581413e-06,2.382246512272855e-06,4.351963734724086e-07,1.2777668189103528,1.7179587399809264,8.907803383806367e-10,7.953699920904e-10,0.2917645108877004,224635-211111
gbrt_minimize,ET,hammersly,gp_hedge,2.602715708652256e-06,8.16024867607933e-06,1.7751171164394576e-06,2.271363735581413e-06,2.382246512272855e-06,4.351963734724086e-07,1.2777668189103528,1.7179587399809264,8.907803383806367e-10,7.953699920904e-10,0.2917645108877004,224910-211111
gbrt_minimize,ET,lhs,LCB,0.00013584817441338526,1.836896616584938e-05,1.3252554398942152e-05,9.461809980226165e-07,3.4543565144303755e-05,9.089360167566408e-07,1.321219740590753,2.2617750249299955,7.768301557575796e-10,1.096129409461355e-09,0.5803273133557958,225257-211111
gbrt_minimize,ET,lhs,EI,1.3070305973664449e-05,3.65481747893352e-06,8.4645710391947e-06,0.00014406833799417924,1.437683317356994e-06,0.00012528670337670059,1.3966153698573345,1.7746833030246436,8.838898502006032e-10,6.547002939782942e-10,0.41092284732481255,225617-211111
gbrt_minimize,ET,lhs,PI,4.47075428222831e-05,1.1453636402073466e-06,4.783908436565921e-06,2.4325154572220853e-06,4.83003312432996e-07,3.799161708445068e-05,1.5091577325944439,1.6871579426516283,7.306555360742095e-10,8.343397084331627e-10,0.3822907082142393,225850-211111
gbrt_minimize,ET,lhs,gp_hedge,2.0268683388438506e-05,1.4635527888518796e-06,3.922292961787407e-06,3.577564507317662e-06,4.4702336732000616e-07,6.369037241187655e-05,1.4650800783193914,1.6432449415836379,7.758793607592906e-10,9.062235406531727e-10,0.4054850136935262,230143-211111
gbrt_minimize,ET,grid,LCB,2.080083823051906e-05,7.745966692414835e-06,7.745966692414835e-06,2.8844991406148213e-06,7.745966692414835e-06,1.074150667386063e-06,1.395929801146018,2.0512064257942146,5.984657214241906e-10,4.2306247394208185e-10,0.8090125618916562,230513-211111
gbrt_minimize,ET,grid,EI,2.080083823051906e-05,7.745966692414835e-06,7.745966692414835e-06,2.8844991406148213e-06,7.745966692414835e-06,1.074150667386063e-06,1.395929801146018,2.0512064257942146,5.984657214241906e-10,4.2306247394208185e-10,0.8090125618916562,230746-211111
gbrt_minimize,ET,grid,PI,5.579860144046166e-06,6.360561110885623e-05,6.7958470090593465e-06,3.0444348690359152e-06,4.250009072059915e-05,5.819113440043135e-07,1.1012753676594242,1.9394411217733194,8.193361544783784e-10,7.402718438243028e-10,0.28848899673411044,231033-211111
gbrt_minimize,ET,grid,gp_hedge,5.579860144046166e-06,6.360561110885623e-05,6.7958470090593465e-06,3.0444348690359152e-06,4.250009072059915e-05,5.819113440043135e-07,1.1012753676594242,1.9394411217733194,8.193361544783784e-10,7.402718438243028e-10,0.28848899673411044,231414-211111
gbrt_minimize,GBRT,random,LCB,2.3076649419419734e-05,1.4852534288725128e-05,3.057749728203677e-05,1.7224117001081345e-06,2.8832890088130935e-06,8.497125564986081e-07,0.98848283971427,1.5691887028491869,6.143632269584032e-10,8.019798158898084e-10,0.6975990457577382,231704-211111
gbrt_minimize,GBRT,random,EI,2.3076649419419734e-05,1.4852534288725128e-05,3.057749728203677e-05,1.7224117001081345e-06,2.8832890088130935e-06,8.497125564986081e-07,0.9884828328847531,1.5691887411035768,6.143632269584032e-10,8.019798158898084e-10,0.6975990457577382,231750-211111
gbrt_minimize,GBRT,random,PI,0.00014047574427082044,3.929409835726041e-06,3.914384783669975e-05,1.288239210192744e-06,3.0840285829284076e-06,1.1188591717362923e-06,1.2883988809530906,1.8946363321195687,6.851523792761327e-10,7.032676663243365e-10,0.33849702610674703,231918-211111
gbrt_minimize,GBRT,random,gp_hedge,7.686630733817366e-05,1.9511270234824172e-05,3.578335071836511e-06,1.2985904042671102e-06,2.8591286869126724e-05,6.125122835197936e-07,1.578761709801385,2.1912763280308503,9.564922187621505e-10,7.779137334296138e-10,0.5164076753092983,232005-211111
